id,source,target142,cse142,cse143,target143,numAdmApplication,admitStatus,gender,ethnic,stdmath
00067f00-8d04-5417-8ca9-2e2dab4967ce,student,CSE142,2,2,CSE143,1,DNA,M,NOT IND,720
0022e155-4621-5444-a47f-7eaa5a8c77dd,student,CSE142,3,3,CSE143,1,DNA,M,CAUCASN,800
00323d0b-b292-5d20-8386-9fe1e291b2c9,student,CSE142,1,1,NA143,1,DNA,M,NOT IND,770
0032e465-77ff-57fe-ac92-96d90201213f,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,650
0036433a-7f23-5c84-85e9-d5c992d14b30,student,CSE142,2,1,NA143,1,DNA,M,CAUCASN,710
00398cf0-cfc2-5aff-956a-a7c290202b79,student,CSE142,2,1,NA143,1,DNA,M,CAUCASN,770
004bc13b-d1b5-56c2-a8c8-5ad416195d02,student,CSE142,2,1,NA143,1,DNA,F,NOT IND,720
00609241-3558-54d2-b09f-6d4bc08f321d,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,750
006e9c50-dcf8-558e-9609-ca4432f38601,student,CSE142,2,3,CSE143,1,DNA,M,CAUCASN,650
0073687a-4e2f-59dc-925f-23d2656c7309,student,CSE142,3,3,CSE143,1,DNA,F,ASIAN,690
007b77cb-9057-51b3-8f7c-25ba65f7cd12,student,CSE142,1,1,NA143,1,DNA,M,ASIAN,790
0098f1e9-2b10-509b-901a-0dfcff69b30e,student,CSE142,1,1,NA143,1,DNA,F,NOT IND,780
00afe7a3-fab5-54b8-b69f-3829ffa36f78,student,CSE142,2,2,CSE143,1,Enrolled,M,CAUCASN,640
00c7ebee-6bb1-547c-a918-3d60af7a6985,student,CSE142,2,3,CSE143,1,DNA,M,CAUCASN,650
00e0460e-1384-54cf-89c6-24db0d136a27,student,CSE142,1,1,CSE143,1,Enrolled,M,ASIAN,760
00eddb41-9df9-5c75-99de-d1d87ee20baa,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,650
00f783ce-d7cb-5d98-9cf0-63ec0a00ab5b,student,CSE142,2,2,CSE143,1,Enrolled,M,CAUCASN,700
01438ef7-983c-5ef6-96d2-12165722a30c,student,CSE142,3,3,CSE143,2,Enrolled,M,CAUCASN,700
015deff4-402f-56aa-953e-65ff7fbb7d87,student,CSE142,2,2,CSE143,4,AV,M,ASIAN,740
0167ac68-36ec-5369-8472-f0c1f3ae2cd4,student,CSE142,1,1,CSE143,1,Enrolled,M,CAUCASN,0
0175e19d-5dfb-5549-b5a4-b8ee71df6f92,student,CSE142,1,1,NA143,1,DNA,F,NOT IND,730
01a97881-c710-5233-ac37-5c9cf3d882ad,student,CSE142,1,2,CSE143,2,Enrolled,F,ASIAN,680
01b575c6-9c49-5d2b-9d05-6d0a8dc9054e,student,CSE142,1,1,NA143,1,DNA,M,ASIAN,660
01e47875-18b3-5961-8220-af719bf9d4b6,student,CSE142,1,1,CSE143,1,Deny,M,ASIAN,700
0203a3bb-2afa-5e52-a7f4-10acb7411d1b,student,CSE142,2,2,CSE143,1,DNA,F,CAUCASN,770
0226b78f-9016-5408-87f3-7bd9144f6562,student,CSE142,1,1,NA143,1,DNA,F,NOT IND,650
023f284c-211e-50eb-a020-77f19b1e201b,student,CSE142,1,2,CSE143,1,DNA,F,ASIAN,690
0240e924-a5e8-57fa-bb59-f45b64d8c809,student,CSE142,3,3,CSE143,1,DNA,M,ASIAN,0
025d43f4-3f92-5eb3-acc8-6a35b42dabc3,student,CSE142,1,1,NA143,1,DNA,F,AMER-IND,640
02811b13-db6d-58e4-8072-be4da8eeebd0,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,660
02899e71-ab0c-5cf3-acb4-319a23f4065d,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,660
028a465d-5199-5ae8-85bf-517f9ac34e2d,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,770
029126b8-bd99-55b0-80eb-ac456175519e,student,CSE142,2,2,CSE143,1,DNA,M,CAUCASN,640
029d3bf5-649c-5445-8914-e8c371f93315,student,CSE142,1,1,CSE143,1,DNA,F,ASIAN,640
02b0b360-2b44-53e8-8e98-91f6c39502e2,student,CSE142,1,1,CSE143,1,DNA,M,ASIAN,580
02b7b8e5-2380-5b3f-b5dc-b5e7a30e2ea7,student,CSE142,1,1,CSE143,1,DNA,F,ASIAN,670
02cb147c-7201-5b99-9bc6-c0b6546b3773,student,CSE142,2,1,NA143,1,DNA,M,CAUCASN,630
02cfd3a0-4afa-50b6-8d62-17b7b57ce09a,student,CSE142,1,1,NA143,1,DNA,M,CAUCASN,580
0321995b-17ff-55ef-98ce-fac931c4c57c,student,CSE142,2,3,CSE143,1,Deny,M,CAUCASN,590
03295113-299a-5da1-bf04-7cca458f3c83,student,CSE142,1,1,CSE143,1,Enrolled,F,NOT IND,0
032ea40d-232b-53bc-941c-1ea54b316b94,student,CSE142,1,1,CSE143,3,Deny,M,ASIAN,580
032fef17-a481-5735-9e73-62a0c84f84f1,student,CSE142,2,3,CSE143,1,DNA,M,ASIAN,630
034c0079-1c20-514b-8fe7-39f165e2fadc,student,CSE142,2,1,NA143,1,DNA,M,CAUCASN,660
036e4ea3-84f8-5d24-b12a-1aee140dc9f1,student,CSE142,2,1,NA143,1,DNA,F,ASIAN,0
0381ff9a-322e-5fdd-a8c5-1ba4e217fee1,student,CSE142,2,3,CSE143,1,DNA,M,NOT IND,730
0383bd58-5da3-57bb-8bc8-75709f7338eb,student,CSE142,1,1,NA143,1,DNA,F,ASIAN,670
038b704e-cff1-57d5-95f9-ee26494251e1,student,CSE142,2,2,CSE143,1,DNA,F,ASIAN,630
03947f55-53d3-59de-a033-4e1dd70f68d3,student,CSE142,1,1,NA143,1,DNA,M,NOT IND,620
039b554f-a0db-513f-b3b7-ee185eb26273,student,CSE142,3,3,CSE143,2,Enrolled,M,CAUCASN,540
03ad6719-5c7b-5896-a873-f3242d6e5dd9,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,700
03b2fdc6-7c8d-5047-a459-2c7eb0020d88,student,CSE142,1,2,CSE143,1,DNA,M,CAUCASN,680
03bc913f-a7ca-5dc6-b9da-20aa056e789e,student,CSE142,1,2,CSE143,1,DNA,M,ASIAN,650
03d56eb5-144a-5a8d-88a6-1f8294368fbb,student,CSE142,1,2,CSE143,2,Deny,M,CAUCASN,670
042e2e89-e55c-57a3-b4e6-f49c82997ed5,student,CSE142,2,2,CSE143,3,Deny,M,CAUCASN,630
044c891c-4adf-5aec-9678-23c9bf9a3de4,student,CSE142,1,3,CSE143,1,DNA,M,NOT IND,800
044ed5e9-69c3-53f0-b5ce-b34c7dba451a,student,CSE142,1,2,CSE143,1,Accept,M,CAUCASN,770
045df941-daba-5c8c-ab46-b30d7d5bd701,student,CSE142,1,2,CSE143,1,DNA,M,CAUCASN,590
047b8d7e-8bca-5049-870e-0b98f94635ac,student,CSE142,1,1,CSE143,1,DNA,M,CAUCASN,660
0491282d-5e29-5eb2-981a-966211adc3d4,student,CSE142,1,3,CSE143,1,DNA,F,NOT IND,670
04ace2b3-d239-5956-a8d0-0929a5a2e664,student,CSE142,1,3,CSE143,1,DNA,F,NOT IND,710
04c4fcbd-c635-5028-a117-cb0bcda973c8,student,CSE142,1,1,NA143,1,DNA,M,ASIAN,600
04d25752-6d37-53d6-be22-a2b9ecc25625,student,CSE142,2,2,CSE143,1,DNA,M,CAUCASN,570
04e97f67-5c03-536e-be26-d1133ab44dcf,student,CSE142,1,2,CSE143,2,AV,M,ASIAN,570
04fdb8d5-7839-5499-8c30-8dec425a0ddd,student,CSE142,3,3,CSE143,1,DNA,F,NOT IND,750
0534614c-6b0a-5390-93c9-a96d16789cd5,student,CSE142,3,3,CSE143,1,Enrolled,M,CAUCASN,800
053694ed-4d1d-5078-a042-a0c69833e956,student,CSE142,2,1,NA143,1,DNA,F,HAW/PAC,600
05394972-f608-5053-b0c1-019f135e1973,student,CSE142,1,1,NA143,1,DNA,M,CAUCASN,610
053b9f65-9a39-5840-ba8c-00c2efdc2bf5,student,CSE142,1,1,NA143,1,DNA,M,NOT IND,800
05474788-1587-5b0f-9df2-21d8bf373d1a,student,CSE142,1,1,NA143,1,DNA,F,CAUCASN,660
0550ff80-241a-5dc2-a9fc-70d2f1a7617d,student,CSE142,2,2,CSE143,1,DNA,F,ASIAN,690
057724f0-e59e-540d-bd3f-1a239bd9f7b0,student,CSE142,1,1,CSE143,2,AV,M,ASIAN,750
058f467f-89ba-5f38-a81e-a270f4cfaa8a,student,CSE142,1,1,CSE143,1,DNA,F,CAUCASN,610
05a5eda7-3016-5e2f-972c-48cffcf3c546,student,CSE142,2,2,CSE143,2,Deny,M,CAUCASN,630
05b34ef5-ba6d-5c04-abe3-02b69a7baa08,student,CSE142,2,3,CSE143,1,DNA,M,CAUCASN,650
05fe52d5-5957-59c3-b20b-bc3b45513e6b,student,CSE142,1,2,CSE143,1,Deny,M,ASIAN,740
0600a59d-4b9f-5e79-b22e-38c357caa35a,student,CSE142,1,2,CSE143,1,SD,F,CAUCASN,680
061632db-7bf8-50f7-8300-779cb2a088bf,student,CSE142,1,1,NA143,1,DNA,F,CAUCASN,600
061ccd9b-8389-5487-b105-f6d05975415b,student,CSE142,3,1,NA143,1,DNA,M,CAUCASN,0
062a251f-c6a1-56e4-a907-7977aef0e185,student,CSE142,3,3,CSE143,1,DNA,M,CAUCASN,610
062dbd9c-0889-5f1d-aabe-cc0e0f3f4336,student,CSE142,1,1,CSE143,1,DNA,M,NOT IND,740
