"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"1",1,"00067f00-8d04-5417-8ca9-2e2dab4967ce","student","CSE142",2,2,"CSE143",1,"DNA","M","NOT IND",NA,3,3,3,3,4,4,3,4,4,3,3,1,2,3.16,720,410,1130,NA,2,2.1,2,1.1
"2",2,"0022e155-4621-5444-a47f-7eaa5a8c77dd","student","CSE142",3,3,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,1,2,5,4,4,4,3,2,1,1,3.39,800,640,1440,NA,3,3.2,3,2
"3",3,"00323d0b-b292-5d20-8386-9fe1e291b2c9","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,2,3,2,2,4,5,5,4,4,4,4,1,1,2.95,770,370,1140,NA,1,1.4,NA,NA
"4",4,"0032e465-77ff-57fe-ac92-96d90201213f","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,4,1,4,5,5,4,4,2,1,3,2,2.49,650,660,1310,NA,1,0,1,NA
"5",5,"0036433a-7f23-5c84-85e9-d5c992d14b30","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,4,3,3,2,2,5,5,4,5,2,1,3,1,3.15,710,650,1360,NA,2,3.2,NA,NA
"6",6,"00398cf0-cfc2-5aff-956a-a7c290202b79","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,3,4,4,1,3,5,3,3,5,4,2,1,2,2.73,770,570,1340,NA,2,2.5,NA,NA
"7",7,"004bc13b-d1b5-56c2-a8c8-5ad416195d02","student","CSE142",2,1,"NA143",1,"DNA","F","NOT IND",NA,3,3,NA,1,3,4,3,4,4,1,4,1,1,3.67,720,540,1260,NA,2,NA,NA,NA
"8",8,"00609241-3558-54d2-b09f-6d4bc08f321d","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,2,5,4,3,4,5,3,3,3,2,3.64,750,680,1430,NA,1,4,1,3.8
"9",9,"006e9c50-dcf8-558e-9609-ca4432f38601","student","CSE142",2,3,"CSE143",1,"DNA","M","CAUCASN",NA,2,4,3,1,5,5,3,5,5,2,3,1,2,3.32,650,760,1410,NA,2,3.1,3,2.5
"10",10,"0073687a-4e2f-59dc-925f-23d2656c7309","student","CSE142",3,3,"CSE143",1,"DNA","F","ASIAN",NA,4,2,1,1,1,3,3,NA,3,3,3,1,1,3.52,690,550,1240,NA,3,3.3,3,3.3
